ItemCode,ItemName,UoMGroupEntry,InventoryUoMEntry
ME01216,ALLEN KEY 5 MM,2,3
ME01217,ALLEN KEY 6MM,2,3
ME01218,ALLEN KEY 8 MM,2,3
ME01219,ALLEN KEY BOLT 10 X 75 MM,2,3
ME01220,ALLEN KEY BOLT 10X100,2,3
ME01221,ALLEN KEY BOLT 10X25,2,3
ME01222,ALLEN KEY BOLT 10X30,2,3
ME01223,ALLEN KEY BOLT 10X40,2,3
ME01224,ALLEN KEY BOLT 10X50,2,3
ME01225,ALLEN KEY BOLT 10X60,2,3
ME01226,ALLEN KEY BOLT 10X80,2,3
ME01227,ALLEN KEY BOLT 12X100,2,3
ME01228,ALLEN KEY BOLT 12X25,2,3
ME01229,ALLEN KEY BOLT 12X30,2,3
ME01230,ALLEN KEY BOLT 12X40,2,3
ME01231,ALLEN KEY BOLT 12X50,2,3
ME01232,ALLEN KEY BOLT 12X60,2,3
ME01233,ALLEN KEY BOLT 12X80,2,3
ME01235,ALLEN KEY BOLT 16X100,2,3
ME01236,ALLEN KEY BOLT 16X130,2,3
ME01237,ALLEN KEY BOLT 16X30,2,3
ME01238,ALLEN KEY BOLT 16X40,2,3
ME01239,ALLEN KEY BOLT 16X50,2,3
ME01240,ALLEN KEY BOLT 16X60,2,3
ME01241,ALLEN KEY BOLT 16X75,2,3
ME01242,ALLEN KEY BOLT 16X80,2,3
ME01243,ALLEN KEY BOLT 20X100,2,3
ME01244,ALLEN KEY BOLT 20X40,2,3
ME01245,ALLEN KEY BOLT 20X50,2,3
ME01246,ALLEN KEY BOLT 20X60,2,3
ME01247,ALLEN KEY BOLT 20X65,2,3
ME01248,ALLEN KEY BOLT 20X80,2,3
ME01249,ALLEN KEY BOLT 4X20,2,3
ME01250,ALLEN KEY BOLT 4X30,2,3
ME01251,ALLEN KEY BOLT 5 X 50 MM,2,3
ME01252,ALLEN KEY BOLT 5X20,2,3
ME01253,ALLEN KEY BOLT 5X30,2,3
ME01254,ALLEN KEY BOLT 5X40,2,3
ME3436,ALLEN KEY BOLT 6X20MM,2,3
ME3128,ALLEN KEY BOLT 6X25MM,2,3
ME01255,ALLEN KEY BOLT 6X30,2,3
ME01256,ALLEN KEY BOLT 6X50,2,3
ME01257,ALLEN KEY BOLT 6X80,2,3
ME01258,ALLEN KEY BOLT 8X20,2,3
ME3129,ALLEN KEY BOLT 8X25MM,2,3
ME01259,ALLEN KEY BOLT 8X30,2,3
ME01260,ALLEN KEY BOLT 8X40,2,3
ME01261,ALLEN KEY BOLT 8X45,2,3
ME01262,ALLEN KEY BOLT 8X50,2,3
ME01263,ALLEN KEY BOLT 8X60,2,3
ME01264,ALLEN KEY BOLT 8X75,2,3
CV00293,ALOXIDE PAPER DISC 350 X 40 X 60,2,3
HE1191,ALTERNATOR 12 V,2,3
HE1274,ALTERNATOR CUTOUT,2,3
EL1336,ALU XLPE ARMOURED CABLE 240 SQMM X 3.5 CORE,5,6
EL00322,ALU. ARM CABLE 300 SQMM X 3.5 CORE,5,6
OT2978,ALUM,1,1
ME3032,ALUMINIUM BRADED CONNECTING STRAP FOR HEATIN,3,4
EL1118,ALUMINIUM CABLE LUGS 10SQ MM PIN TYPE,2,3
EL1297,ALUMINIUM CABLE LUGS 150 SQMM RING TYPE,2,3
EL1296,ALUMINIUM CABLE LUGS 185 SQMM RING TYPE,2,3
EL1119,ALUMINIUM CABLE LUGS 25SQ MM PIN TYPE,2,3
EL1117,ALUMINIUM CABLE LUGS 25SQ MM RING TYPE,2,3
EL1298,ALUMINIUM CABLE LUGS 50 SQMM RING TYPE,2,3
EL1299,ALUMINIUM CABLE LUGS 70 SQMM RING TYPE,2,3
EL1289,ALUMINIUM CABLE LUGS 95 SQMM RING TYPE,2,3
EL00399,ALUMINIUM LUGS 10 SQ.MM RING TYPE,2,3
EL1049,ALUMINIUM LUGS 120 SQ.MM RING TYPE,2,3
EL1050,ALUMINIUM LUGS 16 SQ.MM RING TYPE,2,3
EL00387,ALUMINIUM LUGS 240 SQ.MM RING TYPE,2,3
EL1037,ALUMINIUM LUGS 35 SQ.MM RING TYPE,2,3
AR00001,ALUMINIUM NOTCH BAR,1,1
EL1313,ALUMINIUM STRAIGHT CABLE LUGS 120 SQMM,2,3
EL1314,ALUMINIUM STRAIGHT CABLE LUGS 185 SQMM,2,3
EL1318,ALUMINIUM STRAIGHT CABLE LUGS 240 SQMM,2,3
EL1319,ALUMINIUM STRAIGHT CABLE LUGS 300 SQMM,2,3
EL1317,ALUMINIUM STRAIGHT CABLE LUGS 35 SQMM,2,3
EL1315,ALUMINIUM STRAIGHT CABLE LUGS 50 SQMM,2,3
EL1316,ALUMINIUM STRAIGHT CABLE LUGS 95 SQMM,2,3
EL1501,ALUMINIUM STRIP 40 X 6MM,5,6
HE01057,AMARON BATTERY MF70Z 12 VOLT/75 AH  HEAVY DUTY,2,3
EL00323,AMB CABLE SET (RIBBON CABLE),3,4
EL10013,AMPERE METER CRT-100/5A MODEL: SR-96 MAKE: KEW,2,3
EL10014,AMPERE METER CRT-60/5 A MODEL: SR-96 MAKE: KEW,2,3
EL1356,AMPERE METER SELECTOR SWITCH,2,3
EL1237,AMPERE METER TYPE:DPM96I300-2,2,3
EL1267,ANALOG INPUT MODULE 6ES7134-4GB01-0AB0,2,3
CV00294,ANCHER FASNER BOLT 12 X 150 MM,2,3
CV00295,ANCHOR BOLT 10 X 100,2,3
CV00298,ANCHOR BOLT 16 X 150 MM,2,3
ME01272,ANCHOR BOLT 8 MM,2,3
EL1664,ANCHOR ROTOR FOR AG-4 ANGLE GRINDER,2,3
ME3055,ANCHOR STUDS WITH LOCK WASHER 125VA1S1-310,4,5
RM2796,ANTHRACITE CARBON,1,1
EL1441,ANTI PARALLEL BLOCKING DIODE 250A,2,3
ME3931,ANTI PARALLEL DIODE ASSEMBLY FZ.SS.000054,4,5
OT2976,ANTI RUST RESISTANCE WATER BASED SOLUTIONS,9,10
OT2961,ANTI SCALANT FOR TMT-5056,9,10
ME2683,ANTINATOR FITTING,3,4
EL00324,ANTIPUMPING RELAY,2,3
ME3909,ANVIL BLOCK FOR PNEUMATIC BREAKER CP0117,2,3
FG00978,APC Dust,1,1
MS02608,APRON,2,3
EL00785,AR0085,5,6
ME01274,ARALDITE,6,8
ME3034,ARBOR 5.5 MM WITH PIN TOOL DIA:2.5 MM,2,3
ME01275,ARBOR DIA 10.6 X 4.5 CH179,2,3
ME01276,ARBOR DIA 12.2 X 6.0 CH179,2,3
ME01277,ARBOR DIA 15.5 X 6.0 CH179,2,3
ME01278,ARBOR DIA 17.7 X 8.0 CH190 SPL FLANGE TYPE,2,3
ME01279,ARBOR DIA 20.0 X 8.0 CH190 SPL FLANGE TYPE,2,3
ME01280,ARBOR DIA 5.8 X 2.5 CH179,2,3
ME01281,ARBOR DIA 6.6 X 3.2 CH179,2,3
ME01282,ARBOR DIA 7.8 X 4.0 CH179,2,3
OT2960,ARC WELDING RECTIFIER MACHINE 400AMP,2,3
OT2796,ARGON PURIFYING SYSTEM,3,4
HS01021,ARM Guard-IMP,2,3
ME2684,ARM PP11309,3,4
EL00325,ARMATURE 1604 BOSCH,2,3
EL1614,ARMATURE COIL SET FOR CUTTER MACHINE GCO 14-24J,2,3
EL1627,ARMATURE COIL SET FOR ROTARY HAMMER,4,5
EL1623,ARMATURE SET FOR GCO14-24J CUT OFF MACHINE,4,5
EL00326,ARMATURE THYRISTER FOR 110KW DC DRIVE,3,4
EL00327,ARMATURE THYRISTER FOR 22KW DC DRIVE,2,3
EL00328,ARMATURE THYRISTER FOR 300KW DC DRIVE,2,3
EL00329,ARMATURE THYRISTER FOR 450KW DC DRIVE,2,3
EL00330,ARMATURE THYRISTER FOR 50KW DC DRIVE,2,3
EL00331,ARMATURE THYRISTER FOR 60KW DC DRIVE,2,3
EL00332,ARMATURE THYRISTER FOR 90KW DC DRIVE,2,3
EL00333,ARMOD JOINT KIT HEAT STRINKABLE 150SQMM X 3.5 CORE,3,4
EL00334,ARMOD JOINT KIT HEAT STRINKABLE 185SQMM X 3.5 CORE,3,4
EL10015,ARMOD JOINT KIT HEAT STRINKABLE 240SQMM X 3.5 CORE,3,4
EL00336,ARMOD JOINT KIT HEAT STRINKABLE 300SQMM X 3.5 CORE,3,4
EL00337,ARMOD JOINT KIT HEAT STRINKABLE 600SQMM X 1 CORE,3,4
EL00338,ARMOURED CABLE END TERMINATION KIT (INDOOR) GRADE: UE(33/33KV) 33KV  3C X 185SQ.MM AL,4,5
EL00339,ARMOURED CABLE END TERMINATION KIT (OUTDOOR) GRADE: UE(33/33KV) 3KV  3C X 185SQ.MM  AL,4,5
AS00140,AS00141,2,3
AR00002,ASBESTOS ROPE 12MM,1,1
EL1149,ASBESTOS ROPE 5MM,2,3
ME3174,ASBESTOS ROPE 5MM,1,1
EL1150,ASBESTOS ROPE 8MM,2,3
ME3175,ASBESTOS ROPE 8MM,1,1
ME2626,ASBESTOS STRIP 12MM,1,1
ME3173,ASBESTOS STRIP 3MMX50MM,1,1
ME3172,ASBESTOS STRIP 5MMX75MM,1,1
EL1560,ASPIRATED SMOKE DETECTOR 6AMP,3,4
ME2685,ASSEMBLY OF CLAMPING CYLINDER FITTED WITH HOUSING ALL BUSH ALL SEAL PISTON FOR C1 TO C4 & C5 TO C10,3,4
ME2686,ASSEMBLY OF CLAMPING CYLINDER FOR HLS 160 NECK,3,4
OT2775,ASSEMBLY OF HLS 160 NECK CASSATLE FITTED WITH LOCATING & NON LOCATING SIDE CASSTLE ASSEMBLY,3,4
ME2687,ASSEMBLY OF ROLL FITTED WITH ROLL PLUMBER BLOCK BEARING COVER & KEY FOR MILL APPROACH,3,4
ME2688,ASSEMBLY OF ROLL FITTED WITH ROLL PLUMMER BLOCK BEARING COVER & KEY FOR MILL WORKING ROLLER TABLE,3,4
ME2689,ASSEMBLY OF ROLL FITTED WITH ROLL PLUMMER BLOCK BEARING COVER & KEY FOR TILTING TABLE,3,4
OT2781,ASSEMBLY OF ROLL SIDE COUPLING ADOPTER FITTED WITH PRESSURE PLATE FOR C5 TO C10 MILL STAND,3,4
OT2785,ASSEMBLY OF ROLL SIDE COUPLING ADOPTER FITTED WITH PRESSURE PLATE TOP FLANGE FOR HLS 160 NECK,3,4
HE1239,ASSY.OIL FILTER,2,3
EL1633,ATC CONDUCTOR 120SQMM X 01 CORE SILICON FIBER LEAD,5,6
EL00340,ATC CONNCTOR 16 MM,2,3
MS02609,ATTA,1,1
PS02754,ATTENDANCE REGISTER,2,3
EL00341,AUX ADD ON BLOCK FOR TC1D CONTACTOR,3,4
EL00342,AUXILIARY CONTACT BLOCK MNX A2 1 NO+1NC,2,3
EL00343,AUXILIARY CONTACT HK1-11,2,3
EL00344,AUXILIARY CONTACT SK1-11,2,3
EL00345,AUXILIARY SWITCH 3RV 2901-1E,2,3
EL00346,AUXILLARY CONTACT BLOCK 3 RH 29111 HA,2,3
EL00347,AUXILLARY CONTACT BLOCK 3 RT 2015 HA,2,3
EL1660,AUXILLIARY CONTACTOR MX-A1,2,3
EL1467,"AUXILLIARY SWITCH FOR 3RT1 CONTACTOR TYPE:3RH1921-1EA02,2NC",2,3
EL1468,"AUXILLIARY SWITCH FOR 3RT1 CONTACTOR TYPE:3RH1921-1EA11,1NO+1NC",2,3
EL00348,AUXILLIARY SWITCH TYPE 3RH 2911-1H A 02  2 NC MAKE: SIEMENS,2,3
EL00349,AUXILLIARY SWITCH TYPE: 3RH2911-1 HA 20  2 NO MAKE: SIEMENS,2,3
EL1456,AXIAL FLOW FAN,4,5
HE01050,Air Filter,2,3
ME01211,Allen Key 12 mm,2,3
ME01212,Allen Key 17 mm,2,3
ME01213,Allen Key 19 mm,2,3
ME01215,Allen Key 22 mm,2,3
ME01234,Allen Key Bolt 16 X 45,2,3
CV00292,Allen Key Set,4,5
OT2971,Allimunium Wastage Cable,1,1
CV0361,Aluminum  Door,2,3
CV0364,Aluminum Door closer,2,3
CV0363,Aluminum Door lock,2,3
OT2801,Ambient Air Quality Monitoring,3,4
CV00296,Anchor Bolt 10mm X 75,2,3
CV00297,Anchor Bolt 12 mm x 100 mm,2,3
ME01273,Anchor Fan Bolt,2,3
CV00098,Angle Cock,2,3
HS01019,Antigen Kit,2,3
FL00985,Argon Gas Cylinder,2,3
ME02557,Auto drain kit for (filters dryer) PART NO.2901 0563 00,2,3
EL1238,BACK FILL EARTHING COMPOUND,19,21
ME3001,BACK HEAD BOLT FOR PNEUMATIC BREAKER CP0117,4,5
ME01283,BALL 5/16 Inch SNAP LOCK D10006740,3,4
ME3921,BALL BAERING 6272,2,3
ME01284,BALL BEARING 19-B-3-001,2,3
HE1257,BALL BEARING 30 X 62 X 16 09262M30182,3,4
ME3912,BALL BEARING 5305 S,2,3
ME3922,BALL BEARING 6088,2,3
ME3923,BALL BEARING 6154,2,3
ME3920,BALL BEARING 6486,2,3
ME01285,BALL COCK 1 Inch,2,3
CV0381,BALL COCK 1.5 INCH,2,3
ME01286,BALL COCK 1/2 Inch,2,3
ME2690,BALL JOINT,3,4
CV0348,"BALL VALVE 1""",2,3
CV0347,"BALL VALVE 1/2""",2,3
CV0388,"BALL VALVE 3""",2,3
CV0391,"BALL VALVE 4""",2,3
ME01294,BALL VALVE CI 1 Inch,2,3
OT2871,BALL VALVES 40MM,2,3
OT2872,BALL VALVES 50MM,2,3
OT2873,BALL VALVES 65MM,2,3
ME01297,BALLCOCK 1/2 Inch ( FLOT VALVE 12MM),2,3
CV0434,BAMBOO,2,3
ME2691,BANJO BOLT 7.07.22.0,3,4
ME01298,BANJO BOLT V19.45.175.0,3,4
ME2692,BANJO WASHER,3,4
ME01299,BAR CLAMPING PNEUMATIC CYLINDER,3,4
CV0421,BARBED WIRE,1,1
EL00350,BASE FOR AI/AO 6ES7193-4CB20-0AA0,2,3
EL1268,BASE FOR COUNTER MODULE 6ES7193-4CB20-0AA0,2,3
EL00351,BASE FOR DI/DO MODULE (6ES7-193-4CB20-0AA0),2,3
ME2693,BASE PLATE 53 X 12 X 25,3,4
CV0345,BASIN MIXER,2,3
CV0419,"BATALI 1""",2,3
CV0418,"BATALI 1.5""",2,3
EL1157,"BATTERY 100 MAH,12V",2,3
EL1628,"BATTERY 100AH,2V",2,3
EL00352,BATTERY 12 V 23 A,2,3
EL00353,BATTERY 12V 130 AH,2,3
EL00360,"BATTERY 12V,28AH",2,3
EL1594,"BATTERY 12V,40AH",2,3
EL00354,BATTERY 60 AH,2,3
HE1217,BATTERY 85 AH,2,3
EL00355,BATTERY 9V,2,3
EL00356,BATTERY AA,2,3
EL00357,BATTERY AAA,2,3
EL00358,BATTERY CONNECTOR,4,5
EL00359,BATTERY EXIDE 12XC9-B,2,3
EL00361,BATTERY TERMINAL,2,3
HE1240,BATTERY TERMINAL +V,2,3
HE1241,BATTERY TERMINAL -V,2,3
HE1165,BATTERY TERMINAL WIRE HEAVY DUTY BLACK,2,3
HE01119,BATTERY TERMINAL WIRE HEAVY DUTY RED,2,3
OT02676,BATTERY WATER 1250,9,10
ME2694,BEAIRNG SLEEVE 7202231,3,4
HE1277,BEARING (DYNAMO),2,3
ME01302,BEARING 1212K,2,3
ME3728,BEARING 22207,3,4
ME3727,BEARING 22208,3,4
ME3726,BEARING 22209,3,4
ME2695,BEARING 22214,2,3
OT2813,BEARING 22216,2,3
HE01094,BEARING 22224 E,3,4
ME3731,BEARING 22308,3,4
ME3724,BEARING 22309,3,4
ME3730,BEARING 22310,-1,-1
ME01304,BEARING 22311 EAD1,3,4
ME3729,BEARING 22312,3,4
